Airline,Date_of_Journey,Source,Dep_Time,Destination,Class,Price
Jet Airways,24/05/2019,Banglore,06:00,Delhi,0,4030
Jet Airways,3/03/2019,Delhi,08:00,Cochin,0,17024
Multiple carriers,9/04/2019,Delhi,17:30,Cochin,0,13017
GoAir,6/06/2019,Kolkata,23:30,Banglore,0,6686
IndiGo,15/06/2019,Delhi,02:00,Cochin,0,5636
IndiGo,9/06/2019,Delhi,07:35,Cochin,0,6442
Multiple carriers,21/05/2019,Delhi,13:05,Cochin,0,9486
Jet Airways,21/05/2019,Kolkata,20:00,Banglore,0,10844
Jet Airways,3/06/2019,Delhi,20:00,Cochin,0,15318
Air India,3/04/2019,Delhi,12:30,Cochin,0,5117
IndiGo,24/06/2019,Delhi,15:10,Cochin,0,6147
Multiple carriers,9/06/2019,Delhi,12:50,Cochin,0,7005
SpiceJet,3/04/2019,Kolkata,22:20,Banglore,0,3873
Jet Airways,21/03/2019,Delhi,18:25,Cochin,0,9270
GoAir,27/06/2019,Banglore,11:40,Delhi,0,3898
Jet Airways,12/05/2019,Kolkata,08:25,Banglore,0,14781
Jet Airways,24/05/2019,Kolkata,20:00,Banglore,0,8586
Air India,9/05/2019,Kolkata,08:20,Banglore,0,10697
Jet Airways,27/06/2019,Delhi,20:00,Cochin,0,14300
IndiGo,03/03/2019,Banglore,18:55,New Delhi,0,8855
Jet Airways,12/05/2019,Kolkata,16:30,Banglore,0,10844
Jet Airways,6/03/2019,Delhi,02:15,Cochin,0,17024
Jet Airways,1/05/2019,Kolkata,09:35,Banglore,0,9314
IndiGo,24/03/2019,Banglore,00:40,New Delhi,0,4777
Air India,9/06/2019,Kolkata,12:00,Banglore,0,7662
IndiGo,9/05/2019,Delhi,06:50,Cochin,0,6442
SpiceJet,12/06/2019,Delhi,08:45,Cochin,0,5264
Jet Airways,27/05/2019,Delhi,13:00,Cochin,0,12898
Air India,3/03/2019,Mumbai,13:55,Hyderabad,0,6092
SpiceJet,21/05/2019,Banglore,05:55,Delhi,0,3311
Jet Airways,27/03/2019,Delhi,19:15,Cochin,0,6540
IndiGo,27/05/2019,Banglore,01:30,Delhi,0,3419
Jet Airways,3/04/2019,Delhi,14:00,Cochin,0,5177
Air India,18/04/2019,Delhi,18:05,Cochin,0,8246
Jet Airways,9/06/2019,Kolkata,09:35,Banglore,0,14676
Multiple carriers,27/06/2019,Delhi,11:30,Cochin,0,13587
Jet Airways,6/05/2019,Kolkata,21:10,Banglore,0,9663
Jet Airways,12/06/2019,Kolkata,16:30,Banglore,0,13044
IndiGo,3/04/2019,Delhi,20:25,Cochin,0,5073
Vistara,21/05/2019,Kolkata,17:00,Banglore,0,9345
Jet Airways,6/05/2019,Kolkata,14:05,Banglore,0,9663
Multiple carriers,21/05/2019,Delhi,08:00,Cochin,0,14277
Jet Airways,1/06/2019,Delhi,10:00,Cochin,0,10262
Jet Airways,27/03/2019,Mumbai,19:35,Hyderabad,0,5678
Multiple carriers,15/05/2019,Delhi,16:00,Cochin,0,13727
Jet Airways,6/05/2019,Kolkata,20:00,Banglore,0,9663
IndiGo,12/05/2019,Chennai,14:45,Kolkata,0,3858
SpiceJet,24/06/2019,Delhi,08:45,Cochin,0,4812
IndiGo,27/06/2019,Delhi,21:50,Cochin,0,5775
Jet Airways,6/06/2019,Kolkata,09:35,Banglore,0,10539
IndiGo,3/06/2019,Kolkata,15:30,Banglore,0,4804
Air Asia,12/06/2019,Banglore,11:10,Delhi,0,3383
IndiGo,03/03/2019,Banglore,12:10,New Delhi,0,8738
Air India,27/03/2019,Delhi,05:15,Cochin,0,7165
IndiGo,24/06/2019,Delhi,16:10,Cochin,0,6412
Jet Airways,27/06/2019,Banglore,18:55,Delhi,0,8016
Jet Airways,12/03/2019,Banglore,20:35,New Delhi,0,11087
SpiceJet,27/06/2019,Chennai,09:45,Kolkata,0,3543
Jet Airways,12/06/2019,Kolkata,16:30,Banglore,0,12471
Jet Airways,24/06/2019,Delhi,09:00,Cochin,0,10262
Air India,18/03/2019,Banglore,13:20,New Delhi,0,4441
Multiple carriers,27/03/2019,Delhi,07:05,Cochin,0,12537
GoAir,24/03/2019,Kolkata,22:25,Banglore,0,10091
Air India,3/06/2019,Banglore,21:05,Delhi,0,6961
IndiGo,24/04/2019,Delhi,05:35,Cochin,0,5013
Air India,18/05/2019,Delhi,05:10,Cochin,0,6934
Multiple carriers,3/06/2019,Delhi,06:40,Cochin,0,10877
Jet Airways,18/04/2019,Banglore,15:15,Delhi,0,7229
IndiGo,27/03/2019,Delhi,16:00,Cochin,0,7048
Vistara,27/06/2019,Banglore,17:00,Delhi,0,4878
Jet Airways,21/05/2019,Kolkata,14:05,Banglore,0,10844
Jet Airways,18/05/2019,Delhi,23:05,Cochin,0,15129
IndiGo,12/05/2019,Banglore,00:30,Delhi,0,3943
SpiceJet,6/06/2019,Delhi,06:05,Cochin,0,5583
Multiple carriers,6/06/2019,Delhi,07:05,Cochin,0,9646
Multiple carriers,3/06/2019,Delhi,08:30,Cochin,0,7677
IndiGo,1/06/2019,Delhi,05:10,Cochin,0,6842
Jet Airways,24/06/2019,Mumbai,08:45,Hyderabad,0,4995
Vistara,9/06/2019,Kolkata,07:10,Banglore,0,9555
IndiGo,1/06/2019,Banglore,01:30,Delhi,0,4077
Jet Airways,12/05/2019,Banglore,15:15,Delhi,0,7229
Multiple carriers,9/06/2019,Delhi,09:00,Cochin,0,12192
Air India,12/04/2019,Banglore,10:00,Delhi,0,5911
Air India,12/06/2019,Delhi,09:00,Cochin,0,8372
Jet Airways,18/03/2019,Mumbai,07:10,Hyderabad,0,4995
Multiple carriers,9/05/2019,Delhi,10:00,Cochin,0,14323
Jet Airways,9/06/2019,Delhi,05:30,Cochin,0,13014
Air India,6/06/2019,Delhi,14:25,Cochin,0,13591
Jet Airways,3/03/2019,Delhi,05:25,Cochin,0,18799
IndiGo,27/04/2019,Banglore,23:30,Delhi,0,3943
SpiceJet,21/05/2019,Mumbai,05:45,Hyderabad,0,1965
Jet Airways,27/05/2019,Mumbai,10:20,Hyderabad,0,4995
Air India,24/03/2019,Kolkata,16:50,Banglore,0,14641
Air India,12/04/2019,Kolkata,20:45,Banglore,0,4460
Air India,18/05/2019,Delhi,13:00,Cochin,0,10191
Jet Airways,9/03/2019,Delhi,02:15,Cochin,0,13843
IndiGo,1/05/2019,Delhi,21:50,Cochin,0,6349
Air Asia,1/05/2019,Kolkata,10:20,Banglore,0,4409
Jet Airways,6/03/2019,Delhi,18:15,Cochin,0,17024
Multiple carriers,18/05/2019,Delhi,07:05,Cochin,0,13727
IndiGo,15/03/2019,Banglore,18:25,New Delhi,0,8855
Multiple carriers,24/06/2019,Delhi,08:45,Cochin,0,12524
Jet Airways,18/03/2019,Banglore,11:40,New Delhi,0,13555
Jet Airways,6/06/2019,Kolkata,06:30,Banglore,0,10844
Multiple carriers,9/06/2019,Delhi,09:00,Cochin,0,13587
SpiceJet,12/06/2019,Chennai,09:45,Kolkata,0,3543
Vistara,18/03/2019,Chennai,07:05,Kolkata,0,4842
IndiGo,24/04/2019,Banglore,23:30,Delhi,0,3943
Jet Airways,9/06/2019,Delhi,19:15,Cochin,0,10577
IndiGo,15/05/2019,Delhi,10:35,Cochin,0,6979
Vistara,27/06/2019,Chennai,17:45,Kolkata,0,11982
SpiceJet,6/06/2019,Delhi,08:45,Cochin,0,5264
Vistara,3/03/2019,Delhi,06:00,Cochin,0,8001
Air India,1/06/2019,Delhi,19:45,Cochin,0,10651
Jet Airways,24/05/2019,Kolkata,16:30,Banglore,0,10844
Multiple carriers,27/03/2019,Delhi,09:45,Cochin,0,6601
Air India,21/03/2019,Delhi,19:00,Cochin,0,6587
SpiceJet,21/03/2019,Mumbai,13:10,Hyderabad,0,3173
Air India,9/05/2019,Banglore,10:00,Delhi,0,5228
Jet Airways,21/06/2019,Banglore,07:10,Delhi,0,5769
Jet Airways,6/06/2019,Delhi,08:00,Cochin,0,14714
Jet Airways,3/06/2019,Delhi,05:30,Cochin,0,13014
IndiGo,3/06/2019,Banglore,22:10,Delhi,0,3359
GoAir,03/03/2019,Banglore,20:55,New Delhi,0,6722
IndiGo,18/03/2019,Kolkata,09:35,Banglore,0,4462
IndiGo,9/03/2019,Delhi,04:55,Cochin,0,6171
Air India,21/05/2019,Kolkata,05:50,Banglore,0,12303
Multiple carriers,21/03/2019,Delhi,11:40,Cochin,0,7695
IndiGo,24/06/2019,Delhi,11:25,Cochin,0,5684
Air India,12/06/2019,Kolkata,16:50,Banglore,0,8366
Air India,1/03/2019,Chennai,11:40,Kolkata,0,19630
Jet Airways,06/03/2019,Banglore,14:05,New Delhi,0,13502
Jet Airways,1/05/2019,Kolkata,21:10,Banglore,0,14781
Multiple carriers,12/06/2019,Delhi,07:10,Cochin,0,6513
Air India,1/06/2019,Delhi,07:00,Cochin,0,9929
Multiple carriers,6/06/2019,Delhi,17:50,Cochin,0,18275
Air India,9/04/2019,Delhi,06:05,Cochin,0,4487
IndiGo,15/03/2019,Mumbai,21:20,Hyderabad,0,2754
Air India,27/03/2019,Mumbai,06:20,Hyderabad,0,2575
SpiceJet,12/06/2019,Kolkata,15:55,Banglore,0,8224
Air India,9/03/2019,Delhi,20:30,Cochin,0,8991
IndiGo,24/06/2019,Delhi,05:35,Cochin,0,5000
Jet Airways,12/06/2019,Kolkata,18:55,Banglore,0,8529
Air India,3/03/2019,Delhi,06:05,Cochin,0,14042
Jet Airways,24/05/2019,Banglore,11:10,Delhi,0,4030
Jet Airways,6/06/2019,Kolkata,18:55,Banglore,0,10844
IndiGo,6/05/2019,Kolkata,21:25,Banglore,0,4804
Multiple carriers,27/05/2019,Delhi,17:30,Cochin,0,7308
IndiGo,12/05/2019,Banglore,16:55,Delhi,0,4823
Jet Airways,24/06/2019,Delhi,09:00,Cochin,0,10262
Jet Airways,27/05/2019,Delhi,20:55,Cochin,0,12898
Air India,12/03/2019,Banglore,17:25,New Delhi,0,12778
IndiGo,3/03/2019,Delhi,04:45,Cochin,0,14871
Air India,21/03/2019,Delhi,13:20,Cochin,0,8708
Jet Airways,6/06/2019,Kolkata,20:00,Banglore,0,10844
SpiceJet,6/03/2019,Mumbai,05:45,Hyderabad,0,4129
IndiGo,18/05/2019,Kolkata,21:25,Banglore,0,4804
Jet Airways,6/05/2019,Banglore,08:20,Delhi,0,7229
Jet Airways,21/03/2019,Banglore,07:00,New Delhi,0,7832
SpiceJet,18/03/2019,Chennai,09:30,Kolkata,0,3859
Multiple carriers,6/06/2019,Delhi,07:30,Cochin,0,9001
Vistara,9/05/2019,Banglore,17:00,Delhi,0,4878
IndiGo,3/05/2019,Mumbai,02:35,Hyderabad,0,2754
Vistara,27/06/2019,Banglore,07:00,Delhi,0,4668
Air Asia,12/05/2019,Kolkata,10:20,Banglore,0,5216
Jet Airways,6/06/2019,Delhi,05:30,Cochin,0,10368
IndiGo,9/03/2019,Delhi,06:40,Cochin,0,8146
Jet Airways,27/03/2019,Delhi,13:00,Cochin,0,12242
Jet Airways,15/03/2019,Banglore,08:00,New Delhi,0,9134
Air India,6/06/2019,Delhi,13:15,Cochin,0,10939
Air India,6/06/2019,Delhi,10:55,Cochin,0,11753
SpiceJet,24/04/2019,Kolkata,17:10,Banglore,0,4174
Jet Airways,21/05/2019,Kolkata,20:00,Banglore,0,10844
Jet Airways,3/06/2019,Delhi,16:00,Cochin,0,14714
Jet Airways,12/06/2019,Kolkata,06:30,Banglore,0,9899
IndiGo,3/03/2019,Delhi,09:10,Cochin,0,14871
IndiGo,6/03/2019,Chennai,13:20,Kolkata,0,7295
Air India,6/06/2019,Delhi,18:45,Cochin,0,13465
SpiceJet,21/05/2019,Chennai,17:45,Kolkata,0,3543
Multiple carriers,27/06/2019,Delhi,19:00,Cochin,0,7198
Jet Airways,1/06/2019,Delhi,08:00,Cochin,0,10262
IndiGo,15/03/2019,Kolkata,15:20,Banglore,0,4148
Jet Airways,27/06/2019,Banglore,15:15,Delhi,0,8016
Jet Airways,9/06/2019,Delhi,22:50,Cochin,0,10262
SpiceJet,15/06/2019,Kolkata,14:55,Banglore,0,3841
Jet Airways,12/03/2019,Banglore,09:45,New Delhi,0,11507
Jet Airways,1/05/2019,Kolkata,08:25,Banglore,0,14781
Jet Airways,27/05/2019,Delhi,17:30,Cochin,0,16079
Jet Airways,27/05/2019,Delhi,22:50,Cochin,0,12898
Multiple carriers,6/03/2019,Delhi,07:30,Cochin,0,15353
IndiGo,24/03/2019,Banglore,18:25,New Delhi,0,7303
SpiceJet,24/03/2019,Kolkata,15:05,Banglore,0,6197
Air India,9/06/2019,Kolkata,09:10,Banglore,0,8996
IndiGo,21/03/2019,Delhi,14:20,Cochin,0,6528
GoAir,9/04/2019,Banglore,20:55,Delhi,0,4239
IndiGo,12/03/2019,Kolkata,20:25,Banglore,0,4148
SpiceJet,24/05/2019,Banglore,21:10,Delhi,0,3971
Air Asia,6/05/2019,Kolkata,07:35,Banglore,0,5192
Jet Airways,9/04/2019,Delhi,13:25,Cochin,0,9483
Jet Airways,3/06/2019,Delhi,11:40,Cochin,0,18804
Air India,18/06/2019,Delhi,05:10,Cochin,0,5201
Jet Airways,27/05/2019,Delhi,11:30,Cochin,0,16079
Jet Airways,15/06/2019,Banglore,19:50,Delhi,0,7229
Multiple carriers,27/05/2019,Delhi,17:45,Cochin,0,6795
Jet Airways,9/05/2019,Kolkata,09:35,Banglore,0,10953
Multiple carriers,24/06/2019,Delhi,15:05,Cochin,0,15965
Air India,9/04/2019,Delhi,12:55,Cochin,0,9968
IndiGo,6/06/2019,Kolkata,22:15,Banglore,0,4804
Jet Airways,27/05/2019,Delhi,10:00,Cochin,0,16079
Jet Airways,12/06/2019,Delhi,21:25,Cochin,0,11507
Air India,9/06/2019,Kolkata,09:25,Banglore,0,11542
Jet Airways,24/04/2019,Banglore,17:45,Delhi,0,7229
Jet Airways,27/04/2019,Banglore,06:00,Delhi,0,4544
IndiGo,15/05/2019,Delhi,05:10,Cochin,0,6496
IndiGo,15/06/2019,Kolkata,21:25,Banglore,0,4804
Air India,01/03/2019,Banglore,11:05,New Delhi,0,13439
Jet Airways,27/03/2019,Delhi,18:15,Cochin,0,6540
IndiGo,1/06/2019,Banglore,23:30,Delhi,0,4591
IndiGo,18/03/2019,Banglore,16:15,New Delhi,0,4437
Air Asia,21/03/2019,Delhi,20:10,Cochin,0,6151
Jet Airways,21/06/2019,Banglore,17:45,Delhi,0,7754
Jet Airways,24/06/2019,Delhi,14:00,Cochin,0,10262
Jet Airways,9/06/2019,Banglore,18:55,Delhi,0,8016
SpiceJet,24/03/2019,Kolkata,06:55,Banglore,0,4781
Vistara,27/06/2019,Banglore,11:30,Delhi,0,4668
Air India,06/03/2019,Banglore,11:50,New Delhi,0,14594
Jet Airways,24/03/2019,Kolkata,16:55,Banglore,0,14231
Air India,15/05/2019,Delhi,05:15,Cochin,0,8425
Multiple carriers,12/06/2019,Delhi,07:05,Cochin,0,9646
IndiGo,3/03/2019,Chennai,14:40,Kolkata,0,7295
Air Asia,9/04/2019,Kolkata,06:50,Banglore,0,5162
IndiGo,09/03/2019,Banglore,18:25,New Delhi,0,6860
Vistara,15/04/2019,Delhi,06:00,Cochin,0,6216
Air Asia,24/05/2019,Kolkata,07:35,Banglore,0,5192
IndiGo,9/04/2019,Banglore,20:00,Delhi,0,4823
SpiceJet,3/04/2019,Banglore,09:30,Delhi,0,3919
IndiGo,3/06/2019,Mumbai,19:05,Hyderabad,0,2754
Multiple carriers,9/05/2019,Delhi,07:30,Cochin,0,9315
Multiple carriers,27/03/2019,Delhi,10:00,Cochin,0,11667
Jet Airways,12/06/2019,Kolkata,08:25,Banglore,0,6224
Air India,24/03/2019,Kolkata,09:25,Banglore,0,13349
Jet Airways,18/03/2019,Banglore,16:55,New Delhi,0,11087
Multiple carriers,6/03/2019,Delhi,13:00,Cochin,0,15603
Jet Airways,9/05/2019,Delhi,19:30,Cochin,0,15129
IndiGo,9/04/2019,Banglore,16:55,Delhi,0,4823
Vistara,1/05/2019,Kolkata,07:10,Banglore,0,8452
Multiple carriers,6/06/2019,Delhi,07:30,Cochin,0,12524
SpiceJet,27/03/2019,Chennai,17:45,Kolkata,0,3384
Jet Airways,1/06/2019,Delhi,19:15,Cochin,0,10262
SpiceJet,18/06/2019,Mumbai,13:15,Hyderabad,0,1965
IndiGo,18/05/2019,Kolkata,22:15,Banglore,0,4804
Jet Airways,27/05/2019,Delhi,18:15,Cochin,0,16079
Jet Airways,1/06/2019,Delhi,21:25,Cochin,0,13292
Air Asia,9/05/2019,Delhi,07:55,Cochin,0,6751
Air India,15/05/2019,Delhi,07:00,Cochin,0,8669
IndiGo,3/03/2019,Delhi,17:30,Cochin,0,14871
Jet Airways,21/05/2019,Delhi,14:00,Cochin,0,12898
SpiceJet,6/06/2019,Banglore,09:30,Delhi,0,3919
Multiple carriers,1/03/2019,Delhi,12:50,Cochin,0,36983
IndiGo,3/06/2019,Chennai,19:35,Kolkata,0,3597
Air India,09/03/2019,Banglore,17:00,New Delhi,0,10741
Air India,6/06/2019,Kolkata,16:50,Banglore,0,11432
Jet Airways,12/03/2019,Banglore,18:55,New Delhi,0,11087
Jet Airways,3/06/2019,Delhi,09:35,Cochin,0,13292
Air India,15/06/2019,Delhi,05:15,Cochin,0,10493
GoAir,09/03/2019,Banglore,07:45,New Delhi,0,7631
Air India,6/06/2019,Delhi,06:50,Cochin,0,13381
Jet Airways,6/06/2019,Kolkata,20:00,Banglore,0,13731
Air India,21/05/2019,Delhi,05:55,Cochin,0,11911
IndiGo,18/04/2019,Banglore,23:30,Delhi,0,4591
Multiple carriers,3/06/2019,Delhi,13:00,Cochin,0,14848
Multiple carriers,12/06/2019,Delhi,08:45,Cochin,0,8266
Air India,18/05/2019,Delhi,17:15,Cochin,0,12392
Jet Airways,12/06/2019,Kolkata,18:55,Banglore,0,13044
Jet Airways,21/05/2019,Delhi,07:05,Cochin,0,12898
Jet Airways,21/03/2019,Delhi,22:50,Cochin,0,12242
IndiGo,18/05/2019,Banglore,10:10,Delhi,0,3943
Vistara,24/03/2019,Kolkata,20:20,Banglore,0,11105
Jet Airways,12/05/2019,Kolkata,21:10,Banglore,0,14388
Jet Airways,18/05/2019,Delhi,19:30,Cochin,0,13014
Multiple carriers,6/03/2019,Delhi,10:20,Cochin,0,15411
Jet Airways,9/03/2019,Delhi,19:45,Cochin,0,16289
IndiGo,15/05/2019,Delhi,06:50,Cochin,0,6442
Jet Airways,18/05/2019,Kolkata,08:25,Banglore,0,10844
Jet Airways,18/05/2019,Mumbai,10:20,Hyderabad,0,5678
IndiGo,12/04/2019,Banglore,23:30,Delhi,0,6906
SpiceJet,21/05/2019,Chennai,09:45,Kolkata,0,3543
